"","Programa","Periodo","Titulares","Sexo","Provincia"
"147","EH","201712","967","F","CATAMARCA"
"148","EH","201712","2288","F","CHACO"
"149","EH","201712","2936","F","CORRIENTES"
"150","EH","201712","1608","F","ENTRE_RIOS"
"151","EH","201712","1215","F","FORMOSA"
"152","EH","201712","1100","F","LA_RIOJA"
"153","EH","201712","12","F","MENDOZA"
"154","EH","201712","2121","F","MISIONES"
"155","EH","201712","4286","F","SALTA"
"156","EH","201712","1997","F","SAN_JUAN"
"157","EH","201712","950","F","SAN_LUIS"
"158","EH","201712","2529","F","SANTIAGO_DEL_ESTERO"
"159","EH","201712","71","F","TIERRA_DEL_FUEGO"
"160","EH","201712","12976","F","TUCUMAN"
"161","AT","201512","0","M","CAPITAL_FEDERAL"
"162","AT","201512","0","M","CAPITAL_FEDERAL"
"163","AT","201512","0","M","CHUBUT"
"164","AT","201512","0","F","CHUBUT"
"165","AT","201612","0","M","CHUBUT"
"166","AT","201612","0","F","CHUBUT"
"167","AT","201712","0","M","CHUBUT"
"168","AT","201712","0","F","CHUBUT"
"169","EH","201512","0","F","CHUBUT"
"170","EH","201612","0","F","CHUBUT"
"171","EH","201712","0","F","CHUBUT"
"172","AT","201512","0","M","CORDOBA"
"173","AT","201512","0","F","CORDOBA"
"174","EH","201512","0","F","CORDOBA"
"175","EH","201612","0","F","CORDOBA"
"176","EH","201712","0","F","CORDOBA"
"177","AT","201512","0","M","JUJUY"
"178","AT","201512","0","F","JUJUY"
"179","EH","201712","0","F","JUJUY"
"180","AT","201512","0","M","LA_PAMPA"
"181","AT","201512","0","F","LA_PAMPA"
"182","AT","201612","0","M","LA_PAMPA"
"183","AT","201612","0","F","LA_PAMPA"
"184","AT","201712","0","M","LA_PAMPA"
"185","AT","201712","0","F","LA_PAMPA"
"186","EH","201512","0","F","LA_PAMPA"
"187","EH","201612","0","F","LA_PAMPA"
"188","EH","201712","0","F","LA_PAMPA"
"189","AT","201512","0","M","NEUQUEN"
"190","AT","201512","0","F","NEUQUEN"
"191","EH","201512","0","F","NEUQUEN"
"192","EH","201612","0","F","NEUQUEN"
"193","EH","201712","0","F","NEUQUEN"
"194","AT","201512","0","M","SANTA_CRUZ"
"195","AT","201512","0","F","SANTA_CRUZ"
"196","AT","201612","0","M","SANTA_CRUZ"
"197","AT","201612","0","F","SANTA_CRUZ"
"198","AT","201712","0","M","SANTA_CRUZ"
"199","AT","201712","0","F","SANTA_CRUZ"
"200","EH","201512","0","F","SANTA_CRUZ"
"201","EH","201612","0","F","SANTA_CRUZ"
"202","EH","201712","0","F","SANTA_CRUZ"
"203","AT","201512","0","M","SANTA_FE"
"204","AT","201512","0","F","SANTA_FE"
"205","EH","201512","0","F","SANTA_FE"
"206","EH","201612","0","F","SANTA_FE"
"207","EH","201712","0","F","SANTA_FE"
"208","AT","201512","0","M","TIERRA_DEL_FUEGO"
"209","AT","201512","0","F","TIERRA_DEL_FUEGO"
"210","AT","201612","0","M","TIERRA_DEL_FUEGO"
"211","AT","201612","0","F","TIERRA_DEL_FUEGO"
"212","AT","201712","0","M","TIERRA_DEL_FUEGO"
"213","AT","201712","0","F","TIERRA_DEL_FUEGO"
"214","EH","201512","0","F","TIERRA_DEL_FUEGO"
"215","EH","201612","0","F","TIERRA_DEL_FUEGO"
